Judul,Tahun,Durasi,Kategori,Skor,Pengguna ,Deskripsi,Pemeran
House of Cards,2013,51min,Drama,8.7,"445,625",A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,"Kevin Spacey, Michel Gill"
Oz,1997,55min,"Crime, Drama, Thriller",8.7,"84,415",A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,"Ernie Hudson, J.K. Simmons"
Dragon Ball Z: Doragon bôru zetto,1989,24min,"Animation, Action, Adventure",8.7,"62,310",The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.,"Jôji Yanami, Kyle Hebert"
Westworld,2016,1h 2min,"Drama, Mystery, Sci-Fi",8.7,"376,848","Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","Evan Rachel Wood, Jeffrey Wright"
The Mandalorian,2019,30min,"Action, Adventure, Sci-Fi",8.7,"137,753","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Pedro Pascal, Carl Weathers"
The West Wing,1999,44min,Drama,8.7,"58,544",Inside the lives of staffers in the West Wing of the White House.,"Martin Sheen, Rob Lowe"
Cobra Kai,2018,30min,"Action, Comedy, Drama",8.7,"38,845","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Xolo Maridueña, Ralph Macchio"
Dragon Ball Z,1996,24min,"Animation, Action, Adventure",8.7,"106,188","After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.","Doc Harris, Christopher Sabat"
The Boys,2019,1h,"Action, Comedy, Crime",8.7,"131,966",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Karl Urban, Jack Quaid"
Steins;Gate,2011,24min,"Animation, Comedy, Drama",8.7,"36,941","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","Mamoru Miyano, Asami Imai"
Leyla ile Mecnun,2011,1h 20min,"Adventure, Comedy, Drama",8.7,"85,136","Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.","Ali Atay, Ahmet Mümtaz Taylan"
One Strange Rock,2018,47min,Documentary,8.7,"5,218",The extraordinary story of Earth and why it is special and uniquely brimming with life among a largely unknown but harsh cosmic arena; astronauts tell the story of Earth through unique perspective.,"Will Smith, Chris Hadfield"
Content Cop,2015,20min,"Documentary, Comedy, Crime",8.7,"11,146","In an effort to bring justice to the YouTube community, former police officer Ian Carter takes on the title of ""Content Cop"". Using his old police uniform and raw wit, Ian sets out to stop the creators that bring nothing but discord to his online city.","Ian Carter, Calvin Vail"
The Marvelous Mrs. Maisel,2017,57min,"Comedy, Drama",8.7,"63,270",A housewife in the 1960s decides to become a stand-up comic.,"Rachel Brosnahan, Michael Zegen"
"I, Claudius",1976,11h 9min,"Biography, Drama, History",8.7,"14,891",The history of the Roman Empire as experienced by one of its rulers.,"Derek Jacobi, John Hurt"
Pew News,2018,15min,"Comedy, News",8.7,"13,078","The Pew News team reports unbiased news in which neither Gloria or Poppy ever give their own opinion, but sometimes they do. Just don't tell Pewdiepie.","Mary Katherine Ham, Felix Kjellberg"
Kota Factory,2019,45min,"Comedy, Drama",8.7,"16,926","Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.","Mayur More, Jitendra Kumar"
Dark,2017,1h,"Crime, Drama, Mystery",8.7,"161,326","A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","Karoline Eichhorn, Louis Hofmann"
Fleabag,2016,27min,"Comedy, Drama",8.7,"62,108",A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,"Phoebe Waller-Bridge, Sian Clifford"
Sarabhai vs Sarabhai,2004,30min,Comedy,8.7,"13,465","The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.","Satish Shah, Ratna Pathak Shah"
Curb Your Enthusiasm,2000,28min,Comedy,8.7,"92,334",The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,"Larry David, Cheryl Hines"
